id,name,description,cost,category_id,shop_id,photo,identification,ref_link
167,"Studio Ghibli PBC-08 PULL-BACK Collection Totoro Handmade","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",1862,1,"Fast Anime Studio",253857.jpg,3,https://fast-anime.ru/Figures/11492
168,"Nendoroid Akane Shinjo","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",3868,1,"Fast Anime Studio",100260351.jpg,3,https://fast-anime.ru/Figures/11866
169,"Girls Frontline: Suomi KP-31","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",12427,1,"Fast Anime Studio",100260386.jpg,3,https://fast-anime.ru/Figures/11869
170,"Nendoroid Shizue","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4998,1,"Fast Anime Studio",151886.jpg,3,https://fast-anime.ru/Figures/4927
171,"Nendoroid Ichigo Kurosaki","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5321,1,"Fast Anime Studio",252827.jpg,3,https://fast-anime.ru/Figures/11405
172,"chitocerium LXXVIII-platinum","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4191,1,"Fast Anime Studio",100262553.jpg,3,https://fast-anime.ru/Figures/12025
173,"Nendoroid Izuku Midoriya: Heros Edition","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5321,1,"Fast Anime Studio",100262950.jpg,3,https://fast-anime.ru/Figures/12049
174,"Nendoroid Kizuna AI: A.I.Games 2019 Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4352,1,"Fast Anime Studio",100262987.jpg,3,https://fast-anime.ru/Figures/12054
175,"Nendoroid Tomura Shigaraki: Villains Edition","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5406,1,"Fast Anime Studio",100266960.jpg,3,https://fast-anime.ru/Figures/12295
176,"POP UP PARADE Garou PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4599,1,"Fast Anime Studio",100267738.jpg,3,https://fast-anime.ru/Figures/12348
177,"Nendoroid Avenger King of the Cavern Edmond Dantes","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4114,1,"Fast Anime Studio",100270956.jpg,3,https://fast-anime.ru/Figures/12624
